PRECO MAXIMO DE CADA JOGADOR:  9.175
PRECO MAXIMO TIME:  110.10000000000001
GOLEIROS
     preco_num    SC             apelido  clube_id             clube
498       6.48  28.0             Maílson       292             Sport
486       6.67  24.0              Walter      1371            Cuiabá
421       8.76  24.0             Cleiton       280  >>>>> Bragantino
400       5.10  22.0       Marcelo Carné       286         Juventude
305       5.95  22.0             Jailson       275   >>>>> Palmeiras
294       5.36  19.0              Daniel       285     Internacional
201       3.50  18.0          João Paulo       315       Chapecoense
406       4.69  16.0     Gabriel Chapecó       284            Grêmio
514       3.57  13.0    Matheus Teixeira       265       >>>>> Bahia
656       5.18   8.0  Matheus Cavichioli       327        América-MG
441       4.96   7.0             Richard       354             Ceará
384       4.13   6.0          João Paulo       277      >>>>> Santos
ZAGUEIROS
     preco_num    SC             apelido  clube_id             clube
372       7.24  28.8         Luiz Felipe       277      >>>>> Santos
634       6.75  27.0         Luan Peres        277      >>>>> Santos
365       7.13  25.4  Marcelo Benevenuto       356   >>>>> Fortaleza
74        9.15  23.5               Réver       282       Atlético-MG
750       5.45  22.5             Ignácio       315       Chapecoense
101       8.05  22.4         Bruno Alves       276         São Paulo
92        7.42  22.4             Gabriel       282       Atlético-MG
44        8.90  19.9               Éder        373       Atlético-GO
525       6.48  19.4         João Victor       264       Corinthians
304       5.10  19.1             Marllon      1371            Cuiabá
484       6.22  18.3                 Gil       264       Corinthians
503       6.24  18.0              Sabino       292             Sport
350       3.98  17.7        Vitor Mendes       286         Juventude
454       5.19  17.6           Zé Ivaldo       293      Athlético-PR
282       4.16  16.2      Rafael Forster       286         Juventude
479       4.19  15.0       Rafael Thyere       292             Sport
209       4.79  14.8      Felipe Santana       315       Chapecoense
20        2.97  14.6      Anderson Jesus       327        América-MG
561       8.07  14.2       Pedro Geromel       284            Grêmio
491       6.33  12.3              Paulão      1371            Cuiabá
189       2.54  12.3              Derlan       315       Chapecoense
303       4.41  11.0                Luan       275   >>>>> Palmeiras
108       5.15  10.5        Luiz Otávio        265       >>>>> Bahia
601       7.00   9.1       Víctor Cuesta       285     Internacional
427       4.85   8.7        Igor Rabello       282       Atlético-MG
139       4.15   7.1               Diego       276         São Paulo
178       2.11   6.3     Gabriel Lacerda       354             Ceará
360       4.31   5.4       Paulo Miranda       284            Grêmio
49        3.58   4.8            Oliveira       373       Atlético-GO
147       4.97   4.7               Natan       280  >>>>> Bragantino
293       0.87  -1.1      Pedro Henrique       285     Internacional
156       0.76  -3.0             Messias       354             Ceará
LATERAIS
     preco_num    SC          apelido  clube_id             clube
114       9.09  31.7             Guga       282       Atlético-MG
570       6.55  29.8           Hayner       292             Sport
564       8.18  28.1            Tinga       356   >>>>> Fortaleza
318       7.26  26.5      Victor Luis       275   >>>>> Palmeiras
192       6.37  25.1      Matheuzinho       262    >>>>> Flamengo
259       5.59  25.0           Heitor       285     Internacional
543       4.17  20.8           Michel       286         Juventude
483       9.10  20.4   Abner Vinícius       293      Athlético-PR
121       7.16  19.2      Filipe Luís       262    >>>>> Flamengo
512       8.89  18.7              Léo       276         São Paulo
492       6.57  17.7   Júnior Tavares       292             Sport
